gpu_id,gpu_name,gpu_usage,gpu_free_memory,gpu_used_memory,gpu_total_memory,gpu_temperature,gpu_uuid,cpu_usage,ram_total,ram_available,ram_used,memory_usage,datetime
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,51.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,6.0%,15.44GB,4.68GB,8.70GB,69.7%,2022-04-07 15:16:13.036722
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,53.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,10.3%,15.44GB,4.69GB,8.70GB,69.6%,2022-04-07 15:16:44.774953
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,54.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,6.2%,15.44GB,4.74GB,8.69GB,69.3%,2022-04-07 15:17:16.490617
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,25.0%,15.44GB,4.79GB,8.66GB,69.0%,2022-04-07 15:17:48.207846
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,14.3%,15.44GB,4.79GB,8.66GB,69.0%,2022-04-07 15:18:19.917480
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,56.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,8.6%,15.44GB,4.78GB,8.67GB,69.0%,2022-04-07 15:18:51.624824
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,58.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,10.8%,15.44GB,4.76GB,8.67GB,69.1%,2022-04-07 15:19:23.342322
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,58.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,13.6%,15.44GB,4.75GB,8.67GB,69.3%,2022-04-07 15:19:55.088284
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,56.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,13.6%,15.44GB,4.63GB,8.81GB,70.0%,2022-04-07 15:20:27.085678
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,54.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.59GB,8.84GB,70.3%,2022-04-07 15:20:58.842584
